District,Current — Classrooms,Current — Latrines,Current — Kitchens,Current — Sci. Labs,Current — Libraries,Current — Admin Blocks,Current — Staff Houses,Current — WASH,Current — Halls,Current — Fences,Planned — Classrooms,Planned — Latrines,Planned — Kitchens,Planned — Sci. Labs,Planned — Libraries,Planned — Admin Blocks,Planned — Staff Houses,Planned — WASH,Planned — Halls,Planned — Fences,Total Current Units,Total Planned Units
Bugesera,42,131,5,3,1,4,15,3,2,6,0,0,0,0,0,0,0,0,0,0,212,0
Burera,27,56,1,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,84,56
Gakenke,5,26,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,31,42
Gasabo,15,12,0,0,0,0,0,0,0,0,26,108,0,0,0,0,0,0,0,0,27,134
Gatsibo,41,122,0,0,0,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,166,21
Gicumbi,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,4,4
Gisagara,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24
Huye,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
Kamonyi,25,24,0,1,0,1,1,0,0,0,8,53,1,0,1,0,0,0,0,0,52,63
Karongi,12,32,1,0,2,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0,55,0
Kayonza,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,15
Kicukiro,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
Kirehe,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Muhanga,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,18
Musanze,41,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0
Ngoma,15,12,0,0,0,0,0,0,0,0,30,48,0,0,0,0,0,0,0,0,27,78
Ngororero,0,12,1,0,0,0,0,0,0,0,6,60,0,0,0,0,0,1,0,0,13,67
Nyabihu,41,72,0,0,0,0,0,0,0,0,14,48,0,0,0,0,0,0,0,0,113,62
Nyagatare,6,9,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,0
Nyamagabe,18,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0
Nyamasheke,0,0,0,0,0,0,0,0,0,0,32,96,0,0,0,0,0,0,0,0,0,128
Nyanza,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Nyarugenge,0,0,0,0,0,0,0,0,0,0,15,42,0,0,0,0,0,0,0,0,0,57
Nyaruguru,3,6,0,0,0,0,0,0,0,0,33,12,0,0,0,0,0,0,0,0,9,45
Rubavu,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
Ruhango,2,12,1,0,1,0,0,0,1,0,48,40,0,0,0,1,0,0,0,0,17,89
Rulindo,10,5,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
Rusizi,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
Rutsiro,0,0,0,0,0,0,0,0,0,0,21,104,0,0,0,0,0,0,0,0,0,125
Rwamagana,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
